,name,studio,yearReleased,rating
353,Shingeki no Kyojin: The Final Season, MAPPA,2020,9.06
20,Attack on Titan Final Season, MAPPA,2020,9.06
186,Kimetsu no Yaiba: Yuukaku-hen, ufotable,2021,8.68
308,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2, White Fox,2021,8.63
134,Horimiya, CloverWorks,2021,8.62
167,Kaguya-sama wa Kokurasetai: Ultra Romantic, A-1 Pictures,2022,8.57
117,Haikyuu!!: To the Top 2nd Season, Production I.G,2020,8.56
306,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season, White Fox,2020,8.55
307,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season, White Fox,2020,8.53
458,One Piece, Toei Animation,1999,8.49
278,One Piece, Toei Animation,1999,8.49
457,One Piece, Toei Animation,1999,8.49
446,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 2nd Season, Lerche,2022,8.45
107,Given: Uragawa no Sonzai, Lerche,2021,8.36
111,Golden Kamuy 3rd Season, Geno Studio,2020,8.3
42,Boku no Hero Academia 6th Season, Bones,2022,8.29
462,Jujutsu Kaisen (TV), MAPPA,2020,8.28
162,Jujutsu Kaisen (TV), MAPPA,2020,8.28
461,Jujutsu Kaisen (TV), MAPPA,2020,8.28
303,Quanzhi Gaoshou 2, Colored-Pencil Animation Design,2020,8.22
112,Golden Kamuy 4th Season, Brain's Base,2022,8.21
426,Vanitas no Carte Part 2, Bones,2022,8.2
95,Fumetsu no Anata e 2nd Season, Drive,2022,8.18
69,Detective Conan, TMS Entertainment,1996,8.17
445,Yofukashi no Uta, LIDENFILMS,2022,8.05
133,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season, Ajia-Do,2022,8.0
216,Love Live! Nijigasaki Gakuen School Idol Doukoukai, Sunrise,2020,7.93
16,Arknights: Reimei Zensou, Yostar Pictures,2022,7.93
108,Gochuumon wa Usagi Desu ka? Bloom, Encourage Films,2020,7.91
231,Mairimashita! Iruma-kun 2nd Season, Bandai Namco Pictures,2021,7.88
37,Blue Period, Seven Arcs,2021,7.85
163,K-On!: Live House!, Kyoto Animation,2010,7.83
229,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi, Studio Kafka,2021,7.82
388,"Tantei wa Mou, Shindeiru.", ENGI,2021,7.8
50,Bungou Stray Dogs, Bones,2016,7.79
298,Pokemon: Mezase Pokemon Master, OLM,2023,7.79
